timestamp_ccentral,turbidity_pnwa_mean_1_3,turbidity_pnwa_min_1_3,turbidity_pnwa_max_1_3,turbidity_pnwa_max_min_1_3,turbidity_pnwa_mean_4_6,turbidity_pnwa_min_4_6,turbidity_pnwa_max_4_6,turbidity_pnwa_max_min_4_6,turbidity_pnwa_mean_7_9,turbidity_pnwa_min_7_9,turbidity_pnwa_max_7_9,turbidity_pnwa_max_min_7_9,turbidity_pnwa_mean_10_12,turbidity_pnwa_min_10_12,turbidity_pnwa_max_10_12,turbidity_pnwa_max_min_10_12,turbidity_pnwa_mean_13_15,turbidity_pnwa_min_13_15,turbidity_pnwa_max_13_15,turbidity_pnwa_max_min_13_15,turbidity_pnwa_mean_load_1_3,turbidity_pnwa_min_load_1_3,turbidity_pnwa_max_load_1_3,turbidity_pnwa_max_min_load_1_3,turbidity_pnwa_mean_load_4_6,turbidity_pnwa_min_load_4_6,turbidity_pnwa_max_load_4_6,turbidity_pnwa_max_min_load_4_6,turbidity_pnwa_mean_load_7_9,turbidity_pnwa_min_load_7_9,turbidity_pnwa_max_load_7_9,turbidity_pnwa_max_min_load_7_9,turbidity_pnwa_mean_load_10_12,turbidity_pnwa_min_load_10_12,turbidity_pnwa_max_load_10_12,turbidity_pnwa_max_min_load_10_12,turbidity_pnwa_mean_load_13_15,turbidity_pnwa_min_load_13_15,turbidity_pnwa_max_load_13_15,turbidity_pnwa_max_min_load_13_15,turbidity_wmth_mean_1_3,turbidity_wmth_min_1_3,turbidity_wmth_max_1_3,turbidity_wmth_max_min_1_3,turbidity_wmth_mean_4_6,turbidity_wmth_min_4_6,turbidity_wmth_max_4_6,turbidity_wmth_max_min_4_6,turbidity_wmth_mean_7_9,turbidity_wmth_min_7_9,turbidity_wmth_max_7_9,turbidity_wmth_max_min_7_9,turbidity_wmth_mean_10_12,turbidity_wmth_min_10_12,turbidity_wmth_max_10_12,turbidity_wmth_max_min_10_12,turbidity_wmth_mean_13_15,turbidity_wmth_min_13_15,turbidity_wmth_max_13_15,turbidity_wmth_max_min_13_15,turbidity_wmth_mean_load_1_3,turbidity_wmth_min_load_1_3,turbidity_wmth_max_load_1_3,turbidity_wmth_max_min_load_1_3,turbidity_wmth_mean_load_4_6,turbidity_wmth_min_load_4_6,turbidity_wmth_max_load_4_6,turbidity_wmth_max_min_load_4_6,turbidity_wmth_mean_load_7_9,turbidity_wmth_min_load_7_9,turbidity_wmth_max_load_7_9,turbidity_wmth_max_min_load_7_9,turbidity_wmth_mean_load_10_12,turbidity_wmth_min_load_10_12,turbidity_wmth_max_load_10_12,turbidity_wmth_max_min_load_10_12,turbidity_wmth_mean_load_13_15,turbidity_wmth_min_load_13_15,turbidity_wmth_max_load_13_15,turbidity_wmth_max_min_load_13_15,dschrg_pnwa_mean_1_3,dschrg_pnwa_min_1_3,dschrgpnwa_max_1_3,dschrgpnwa_max_min_1_3,dschrg_pnwa_mean_4_6,dschrg_pnwa_min_4_6,dschrgpnwa_max_4_6,dschrgpnwa_max_min_4_6,dschrg_pnwa_mean_7_9,dschrg_pnwa_min_7_9,dschrgpnwa_max_7_9,dschrgpnwa_max_min_7_9,dschrg_pnwa_mean_10_12,dschrg_pnwa_min_10_12,dschrgpnwa_max_10_12,dschrgpnwa_max_min_10_12,dschrg_pnwa_mean_13_15,dschrg_pnwa_min_13_15,dschrgpnwa_max_13_15,dschrgpnwa_max_min_13_15,dschrg_wmth_mean_1_3,dschrg_wmth_min_1_3,dschrgwmth_max_1_3,dschrgwmth_max_min_1_3,dschrg_wmth_mean_4_6,dschrg_wmth_min_4_6,dschrgwmth_max_4_6,dschrgwmth_max_min_4_6,dschrg_wmth_mean_7_9,dschrg_wmth_min_7_9,dschrgwmth_max_7_9,dschrgwmth_max_min_7_9,dschrg_wmth_mean_10_12,dschrg_wmth_min_10_12,dschrgwmth_max_10_12,dschrgwmth_max_min_10_12,dschrg_wmth_mean_13_15,dschrg_wmth_min_13_15,dschrgwmth_max_13_15,dschrgwmth_max_min_13_15
2022-07-24 21:00:00-05:00,6.0154,5.9356,6.175,0.2393999999999998,6.813400000000001,6.0116,7.3036,1.2920000000000007,6.777933333333333,6.0572,7.3606,1.3034,6.244666666666667,6.1598,6.3688,0.2090000000000005,6.081266666666667,6.0572,6.099,0.0418000000000002,5646.982526666667,5568.18636,5791.1208333333325,222.9344733333328,6394.1776244444445,5634.07152,6858.323853333333,1224.2523333333338,6365.174082222221,5687.912706666667,6908.413806666666,1220.5010999999986,5869.57782888889,5794.113206666667,5980.3032,186.1899933333334,5714.6468888888885,5686.095546666666,5736.3128,50.21725333333325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816.3,2813.5,2821.1,7.599999999999909,2815.2,2811.6,2817.1,5.5,2817.333333333333,2815.7,2819.2,3.5,2819.833333333333,2817.0,2821.9,4.900000000000091,2819.133333333333,2816.2,2821.6,5.400000000000091,,,,,,,,,,,,,,,,,,,,
2022-07-24 22:00:00-05:00,6.0306,5.9356,6.175,0.2393999999999998,6.357400000000001,5.9356,7.125,1.1894,7.1934000000000005,6.916,7.3606,0.4445999999999994,6.210466666666666,6.0572,6.3688,0.3116000000000003,6.101533333333333,6.0572,6.1598,0.1025999999999998,5659.978948888888,5581.640386666666,5791.1208333333325,209.48044666666647,5964.131793333333,5568.18636,6690.1375,1121.95114,6755.311131111111,6499.195733333333,6908.413806666666,409.2180733333325,5834.177662222221,5687.912706666667,5980.3032,292.3904933333333,5733.91369111111,5686.095546666666,5794.113206666667,108.01766000000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2815.6666666666665,2812.4,2821.1,8.699999999999818,2814.2666666666664,2811.6,2816.9,5.300000000000182,2817.333333333333,2815.7,2819.2,3.5,2818.2333333333336,2817.0,2820.6,3.599999999999909,2819.233333333333,2816.2,2821.9,5.700000000000273,,,,,,,,,,,,,,,,,,,,
2022-07-24 23:00:00-05:00,6.090133333333333,5.9812,6.175,0.1937999999999995,5.960933333333333,5.9356,6.0116,0.0759999999999996,7.263066666666667,7.125,7.3606,0.2355999999999998,6.3928666666666665,6.0572,6.916,0.8588000000000005,6.195266666666666,6.0572,6.3688,0.3116000000000003,5711.342493333334,5607.175626666667,5791.1208333333325,183.9452066666654,5594.6327555555545,5568.18636,5634.07152,65.88515999999981,6818.958386666665,6690.1375,6908.413806666666,218.27630666666573,6007.14184,5687.912706666667,6499.195733333333,811.283026666666,5820.170651111112,5686.095546666666,5980.3032,294.20765333333384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2813.4,2812.4,2814.3,1.900000000000091,2815.6666666666665,2811.6,2821.1,9.5,2816.566666666667,2815.7,2817.1,1.400000000000091,2818.9666666666667,2817.1,2820.6,3.5,2818.366666666667,2816.2,2821.9,5.700000000000273,,,,,,,,,,,,,,,,,,,,
2022-07-24 23:50:00-05:00,6.020466666666667,5.966,6.1142,0.1482000000000001,6.0154,5.9356,6.175,0.2393999999999998,6.813400000000001,6.0116,7.3036,1.2920000000000007,6.777933333333333,6.0572,7.3606,1.3034,6.244666666666667,6.1598,6.3688,0.2090000000000005,5643.819237777779,5588.551066666667,5735.731020000001,147.1799533333342,5646.982526666667,5568.18636,5791.1208333333325,222.9344733333328,6394.1776244444445,5634.07152,6858.323853333333,1224.2523333333338,6365.174082222221,5687.912706666667,6908.413806666666,1220.5010999999986,5869.57782888889,5794.113206666667,5980.3032,186.1899933333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812.3,2810.2,2814.3,4.100000000000364,2816.3,2813.5,2821.1,7.599999999999909,2815.2,2811.6,2817.1,5.5,2817.333333333333,2815.7,2819.2,3.5,2819.833333333333,2817.0,2821.9,4.900000000000091,,,,,,,,,,,,,,,,,,,,
2022-07-25 00:00:00-05:00,5.9812,5.8634,6.1142,0.2507999999999999,6.0306,5.9356,6.175,0.2393999999999998,6.357400000000001,5.9356,7.125,1.1894,7.1934000000000005,6.916,7.3606,0.4445999999999994,6.210466666666666,6.0572,6.3688,0.3116000000000003,5609.981641666667,5508.468853333334,5735.731020000001,227.26216666666733,5659.978948888888,5581.640386666666,5791.1208333333325,209.48044666666647,5964.131793333333,5568.18636,6690.1375,1121.95114,6755.311131111111,6499.195733333333,6908.413806666666,409.2180733333325,5834.177662222221,5687.912706666667,5980.3032,292.3904933333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2813.825,2810.2,2818.4,8.200000000000273,2815.6666666666665,2812.4,2821.1,8.699999999999818,2814.2666666666664,2811.6,2816.9,5.300000000000182,2817.333333333333,2815.7,2819.2,3.5,2818.2333333333336,2817.0,2820.6,3.599999999999909,,,,,,,,,,,,,,,,,,,,
2022-07-25 01:00:00-05:00,6.01065,5.8634,6.1142,0.2507999999999999,6.090133333333333,5.9812,6.175,0.1937999999999995,5.960933333333333,5.9356,6.0116,0.0759999999999996,7.263066666666667,7.125,7.3606,0.2355999999999998,6.3928666666666665,6.0572,6.916,0.8588000000000005,5640.639535,5508.468853333334,5735.731020000001,227.26216666666733,5711.342493333334,5607.175626666667,5791.1208333333325,183.9452066666654,5594.6327555555545,5568.18636,5634.07152,65.88515999999981,6818.958386666665,6690.1375,6908.413806666666,218.27630666666573,6007.14184,5687.912706666667,6499.195733333333,811.283026666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2815.325,2810.2,2818.4,8.200000000000273,2813.4,2812.4,2814.3,1.900000000000091,2815.6666666666665,2811.6,2821.1,9.5,2816.566666666667,2815.7,2817.1,1.400000000000091,2818.9666666666667,2817.1,2820.6,3.5,,,,,,,,,,,,,,,,,,,,
2022-07-25 02:00:00-05:00,6.03725,5.8634,6.2206,0.3571999999999997,6.020466666666667,5.966,6.1142,0.1482000000000001,6.0154,5.9356,6.175,0.2393999999999998,6.813400000000001,6.0116,7.3036,1.2920000000000007,6.777933333333333,6.0572,7.3606,1.3034,5665.489318333333,5508.468853333334,5835.130153333333,326.66129999999885,5643.819237777779,5588.551066666667,5735.731020000001,147.1799533333342,5646.982526666667,5568.18636,5791.1208333333325,222.9344733333328,6394.1776244444445,5634.07152,6858.323853333333,1224.2523333333338,6365.174082222221,5687.912706666667,6908.413806666666,1220.5010999999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2815.275,2810.2,2818.4,8.200000000000273,2812.3,2810.2,2814.3,4.100000000000364,2816.3,2813.5,2821.1,7.599999999999909,2815.2,2811.6,2817.1,5.5,2817.333333333333,2815.7,2819.2,3.5,,,,,,,,,,,,,,,,,,,,
2022-07-25 03:00:00-05:00,6.333333333333333,6.099,6.6804,0.5813999999999995,5.9812,5.8634,6.1142,0.2507999999999999,6.0306,5.9356,6.175,0.2393999999999998,6.357400000000001,5.9356,7.125,1.1894,7.1934000000000005,6.916,7.3606,0.4445999999999994,5940.228864444444,5729.8072,6255.74924,525.9420399999999,5609.981641666667,5508.468853333334,5735.731020000001,227.26216666666733,5659.978948888888,5581.640386666666,5791.1208333333325,209.48044666666647,5964.131793333333,5568.18636,6690.1375,1121.95114,6755.311131111111,6499.195733333333,6908.413806666666,409.2180733333325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2813.933333333334,2809.3,2818.4,9.099999999999907,2813.825,2810.2,2818.4,8.200000000000273,2815.6666666666665,2812.4,2821.1,8.699999999999818,2814.2666666666664,2811.6,2816.9,5.300000000000182,2817.333333333333,2815.7,2819.2,3.5,,,,,,,,,,,,,,,,,,,,
2022-07-25 04:00:00-05:00,6.413133333333334,6.2206,6.6804,0.4597999999999995,6.01065,5.8634,6.1142,0.2507999999999999,6.090133333333333,5.9812,6.175,0.1937999999999995,5.960933333333333,5.9356,6.0116,0.0759999999999996,7.263066666666667,7.125,7.3606,0.2355999999999998,6011.324837777778,5835.130153333333,6255.74924,420.6190866666675,5640.639535,5508.468853333334,5735.731020000001,227.26216666666733,5711.342493333334,5607.175626666667,5791.1208333333325,183.9452066666654,5594.6327555555545,5568.18636,5634.07152,65.88515999999981,6818.958386666665,6690.1375,6908.413806666666,218.27630666666573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812.1,2809.3,2814.1,4.799999999999727,2815.325,2810.2,2818.4,8.200000000000273,2813.4,2812.4,2814.3,1.900000000000091,2815.6666666666665,2811.6,2821.1,9.5,2816.566666666667,2815.7,2817.1,1.400000000000091,,,,,,,,,,,,,,,,,,,,
2022-07-25 05:00:00-05:00,6.427066666666666,6.2624,6.6804,0.4179999999999992,6.03725,5.8634,6.2206,0.3571999999999997,6.020466666666667,5.966,6.1142,0.1482000000000001,6.0154,5.9356,6.175,0.2393999999999998,6.813400000000001,6.0116,7.3036,1.2920000000000007,6020.080671111112,5861.397653333334,6255.74924,394.35158666666575,5665.489318333333,5508.468853333334,5835.130153333333,326.66129999999885,5643.819237777779,5588.551066666667,5735.731020000001,147.1799533333342,5646.982526666667,5568.18636,5791.1208333333325,222.9344733333328,6394.1776244444445,5634.07152,6858.323853333333,1224.2523333333338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810.0333333333333,2807.9,2812.9,5.0,2815.275,2810.2,2818.4,8.200000000000273,2812.3,2810.2,2814.3,4.100000000000364,2816.3,2813.5,2821.1,7.599999999999909,2815.2,2811.6,2817.1,5.5,,,,,,,,,,,,,,,,,,,,
