timestamp_ccentral,dschrg_wmth_mean_1_3,dschrg_wmth_min_1_3,dschrgwmth_max_1_3,dschrgwmth_max_min_1_3,dschrg_wmth_mean_4_6,dschrg_wmth_min_4_6,dschrgwmth_max_4_6,dschrgwmth_max_min_4_6,dschrg_wmth_mean_7_9,dschrg_wmth_min_7_9,dschrgwmth_max_7_9,dschrgwmth_max_min_7_9,dschrg_wmth_mean_10_12,dschrg_wmth_min_10_12,dschrgwmth_max_10_12,dschrgwmth_max_min_10_12,dschrg_wmth_mean_13_15,dschrg_wmth_min_13_15,dschrgwmth_max_13_15,dschrgwmth_max_min_13_15
2022-10-09 10:00:00-05:00,9.756599999999999,9.72024,9.82932,0.10907999999999873,9.70408,9.68388,9.74448,0.0605999999999991,9.764679999999998,9.72024,9.82932,0.10907999999999873,9.809119999999998,9.79296,9.82932,0.036359999999998394,9.667720000000001,9.59904,9.76872,0.1696799999999996
2022-10-09 11:00:00-05:00,9.82124,9.72024,9.91416,0.19392000000000031,9.695999999999998,9.68388,9.72024,0.03636000000000017,9.736399999999998,9.72024,9.74448,0.02423999999999893,9.821239999999998,9.80508,9.82932,0.02423999999999893,9.73236,9.6354,9.79296,0.15756000000000014
2022-10-09 12:00:00-05:00,9.90204,9.82932,9.96264,0.13332000000000122,9.70812,9.68388,9.72024,0.03636000000000017,9.716199999999999,9.68388,9.74448,0.0605999999999991,9.792959999999999,9.74448,9.82932,0.0848399999999998,9.796999999999999,9.76872,9.82932,0.0605999999999991
2022-10-09 13:00:00-05:00,9.98688,9.91416,10.08384,0.1696799999999996,9.756599999999999,9.72024,9.82932,0.10907999999999873,9.70408,9.68388,9.74448,0.0605999999999991,9.764679999999998,9.72024,9.82932,0.10907999999999873,9.809119999999998,9.79296,9.82932,0.036359999999998394
2022-10-09 14:00:00-05:00,10.051519999999998,9.96264,10.10808,0.1454399999999989,9.82124,9.72024,9.91416,0.19392000000000031,9.695999999999998,9.68388,9.72024,0.03636000000000017,9.736399999999998,9.72024,9.74448,0.02423999999999893,9.821239999999998,9.80508,9.82932,0.02423999999999893
2022-10-09 15:00:00-05:00,10.120199999999999,10.08384,10.16868,0.0848399999999998,9.90204,9.82932,9.96264,0.13332000000000122,9.70812,9.68388,9.72024,0.03636000000000017,9.716199999999999,9.68388,9.74448,0.0605999999999991,9.792959999999999,9.74448,9.82932,0.0848399999999998
2022-10-09 16:00:00-05:00,10.164639999999999,10.10808,10.21716,0.10908000000000051,9.98688,9.91416,10.08384,0.1696799999999996,9.756599999999999,9.72024,9.82932,0.10907999999999873,9.70408,9.68388,9.74448,0.0605999999999991,9.764679999999998,9.72024,9.82932,0.10907999999999873
2022-10-09 17:00:00-05:00,10.229279999999997,10.16868,10.302,0.13331999999999944,10.051519999999998,9.96264,10.10808,0.1454399999999989,9.82124,9.72024,9.91416,0.19392000000000031,9.695999999999998,9.68388,9.72024,0.03636000000000017,9.736399999999998,9.72024,9.74448,0.02423999999999893
2022-10-09 18:00:00-05:00,10.273719999999997,10.21716,10.302,0.0848399999999998,10.120199999999999,10.08384,10.16868,0.0848399999999998,9.90204,9.82932,9.96264,0.13332000000000122,9.70812,9.68388,9.72024,0.03636000000000017,9.716199999999999,9.68388,9.74448,0.0605999999999991
2022-10-09 19:00:00-05:00,10.314119999999997,10.302,10.33836,0.03636000000000017,10.164639999999999,10.10808,10.21716,0.10908000000000051,9.98688,9.91416,10.08384,0.1696799999999996,9.756599999999999,9.72024,9.82932,0.10907999999999873,9.70408,9.68388,9.74448,0.0605999999999991
