timestamp_ccentral,toc_pnwa_mean_load_1_3,toc_pnwa_min_load_1_3,toc_pnwa_max_load_1_3,toc_pnwa_max_min_load_1_3,toc_pnwa_mean_load_4_6,toc_pnwa_min_load_4_6,toc_pnwa_max_load_4_6,toc_pnwa_max_min_load_4_6,toc_pnwa_mean_load_7_9,toc_pnwa_min_load_7_9,toc_pnwa_max_load_7_9,toc_pnwa_max_min_load_7_9,toc_pnwa_mean_load_10_12,toc_pnwa_min_load_10_12,toc_pnwa_max_load_10_12,toc_pnwa_max_min_load_10_12,toc_pnwa_mean_load_13_15,toc_pnwa_min_load_13_15,toc_pnwa_max_load_13_15,toc_pnwa_max_min_load_13_15
2023-07-06 14:00:00-05:00,10719.490199033333,10554.8249199,10925.733285600001,370.908365700001,10046.929975633333,8770.0212905,11554.1782125,2784.156922,8991.586756800001,8703.6912786,9219.275363699999,515.5840850999994,8993.561824800001,8752.4624481,9234.661201500001,482.1987534000018,7690.1548721,6676.627718000001,8440.974218199999,1764.3465001999984
2023-07-06 15:00:00-05:00,10511.102055333335,10300.568854500001,10677.9123916,377.3435370999996,10765.500640666667,9816.5904239,11554.1782125,1737.5877886000017,8841.835399066667,8703.6912786,9051.7936281,348.10234950000086,9068.7996711,8752.4624481,9234.661201500001,482.1987534000018,8427.5519168,8414.1296154,8440.974218199999,26.844602799999848
2023-07-06 16:00:00-05:00,9083.979705200001,6396.5453412,10554.8249199,4158.2795787000005,11052.607963233335,10677.9123916,11554.1782125,876.2658209000001,9212.801780833333,8770.0212905,9816.5904239,1046.5691333999985,8891.809696799999,8703.6912786,9219.275363699999,515.5840850999994,8824.39540845,8414.1296154,9234.661201500001,820.5315861000017
2023-07-06 17:00:00-05:00,8356.674730333334,6396.5453412,10300.568854500001,3904.0235133000015,10719.490199033333,10554.8249199,10925.733285600001,370.908365700001,10046.929975633333,8770.0212905,11554.1782125,2784.156922,8991.586756800001,8703.6912786,9219.275363699999,515.5840850999994,8993.561824800001,8752.4624481,9234.661201500001,482.1987534000018
2023-07-06 18:00:00-05:00,7658.831845433335,6396.5453412,8372.9099953,1976.3646541000007,10511.102055333335,10300.568854500001,10677.9123916,377.3435370999996,10765.500640666667,9816.5904239,11554.1782125,1737.5877886000017,8841.835399066667,8703.6912786,9051.7936281,348.10234950000086,9068.7996711,8752.4624481,9234.661201500001,482.1987534000018
2023-07-06 19:00:00-05:00,8371.3954145,8207.0401998,8534.2360484,327.1958486000003,9083.979705200001,6396.5453412,10554.8249199,4158.2795787000005,11052.607963233335,10677.9123916,11554.1782125,876.2658209000001,9212.801780833333,8770.0212905,9816.5904239,1046.5691333999985,8891.809696799999,8703.6912786,9219.275363699999,515.5840850999994
2023-07-06 20:00:00-05:00,8469.826125133333,8207.0401998,8668.2021272,461.1619274000004,8356.674730333334,6396.5453412,10300.568854500001,3904.0235133000015,10719.490199033333,10554.8249199,10925.733285600001,370.908365700001,10046.929975633333,8770.0212905,11554.1782125,2784.156922,8991.586756800001,8703.6912786,9219.275363699999,515.5840850999994
2023-07-06 21:00:00-05:00,8622.216643433334,8534.2360484,8668.2021272,133.9660788000001,7658.831845433335,6396.5453412,8372.9099953,1976.3646541000007,10511.102055333335,10300.568854500001,10677.9123916,377.3435370999996,10765.500640666667,9816.5904239,11554.1782125,1737.5877886000017,8841.835399066667,8703.6912786,9051.7936281,348.10234950000086
2023-07-06 22:00:00-05:00,8696.055484166667,8664.2117547,8755.7525706,91.54081589999987,8371.3954145,8207.0401998,8534.2360484,327.1958486000003,9083.979705200001,6396.5453412,10554.8249199,4158.2795787000005,11052.607963233335,10677.9123916,11554.1782125,876.2658209000001,9212.801780833333,8770.0212905,9816.5904239,1046.5691333999985
2023-07-06 23:00:00-05:00,8764.587899633334,8664.2117547,8873.799373599999,209.58761889999914,8469.826125133333,8207.0401998,8668.2021272,461.1619274000004,8356.674730333334,6396.5453412,10300.568854500001,3904.0235133000015,10719.490199033333,10554.8249199,10925.733285600001,370.908365700001,10046.929975633333,8770.0212905,11554.1782125,2784.156922
2023-07-07 00:00:00-05:00,9175.217818433333,8755.7525706,9896.101511100002,1140.3489405000018,8622.216643433334,8534.2360484,8668.2021272,133.9660788000001,7658.831845433335,6396.5453412,8372.9099953,1976.3646541000007,10511.102055333335,10300.568854500001,10677.9123916,377.3435370999996,10765.500640666667,9816.5904239,11554.1782125,1737.5877886000017
2023-07-07 01:00:00-05:00,9990.213755833334,8873.799373599999,11200.7403828,2326.9410092000016,8696.055484166667,8664.2117547,8755.7525706,91.54081589999987,8371.3954145,8207.0401998,8534.2360484,327.1958486000003,9083.979705200001,6396.5453412,10554.8249199,4158.2795787000005,11052.607963233335,10677.9123916,11554.1782125,876.2658209000001
2023-07-07 02:00:00-05:00,10211.380586000001,9537.2998641,11200.7403828,1663.4405187000011,8764.587899633334,8664.2117547,8873.799373599999,209.58761889999914,8469.826125133333,8207.0401998,8668.2021272,461.1619274000004,8356.674730333334,6396.5453412,10300.568854500001,3904.0235133000015,10719.490199033333,10554.8249199,10925.733285600001,370.908365700001
2023-07-07 03:00:00-05:00,9506.6474111,7781.9019864,11200.7403828,3418.8383964000004,9175.217818433333,8755.7525706,9896.101511100002,1140.3489405000018,8622.216643433334,8534.2360484,8668.2021272,133.9660788000001,7658.831845433335,6396.5453412,8372.9099953,1976.3646541000007,10511.102055333335,10300.568854500001,10677.9123916,377.3435370999996
2023-07-07 04:00:00-05:00,8522.622298600001,7781.9019864,9537.2998641,1755.3978776999993,9990.213755833334,8873.799373599999,11200.7403828,2326.9410092000016,8696.055484166667,8664.2117547,8755.7525706,91.54081589999987,8371.3954145,8207.0401998,8534.2360484,327.1958486000003,9083.979705200001,6396.5453412,10554.8249199,4158.2795787000005
2023-07-07 05:00:00-05:00,8136.602781033335,7781.9019864,8379.241311400001,597.3393250000008,10211.380586000001,9537.2998641,11200.7403828,1663.4405187000011,8764.587899633334,8664.2117547,8873.799373599999,209.58761889999914,8469.826125133333,8207.0401998,8668.2021272,461.1619274000004,8356.674730333334,6396.5453412,10300.568854500001,3904.0235133000015
2023-07-07 06:00:00-05:00,8339.316257833336,8248.6650453,8390.0424168,141.37737150000066,9506.6474111,7781.9019864,11200.7403828,3418.8383964000004,9175.217818433333,8755.7525706,9896.101511100002,1140.3489405000018,8622.216643433334,8534.2360484,8668.2021272,133.9660788000001,7658.831845433335,6396.5453412,8372.9099953,1976.3646541000007
