timestamp_ccentral,turbidity_pnwa_mean_1_3,turbidity_pnwa_min_1_3,turbidity_pnwa_max_1_3,turbidity_pnwa_max_min_1_3,turbidity_pnwa_mean_4_6,turbidity_pnwa_min_4_6,turbidity_pnwa_max_4_6,turbidity_pnwa_max_min_4_6,turbidity_pnwa_mean_7_9,turbidity_pnwa_min_7_9,turbidity_pnwa_max_7_9,turbidity_pnwa_max_min_7_9,turbidity_pnwa_mean_10_12,turbidity_pnwa_min_10_12,turbidity_pnwa_max_10_12,turbidity_pnwa_max_min_10_12,turbidity_pnwa_mean_13_15,turbidity_pnwa_min_13_15,turbidity_pnwa_max_13_15,turbidity_pnwa_max_min_13_15
2021-05-30 07:00:00-05:00,5.9128,5.6126,6.099,0.4864000000000006,4.75,4.5714,5.0616,0.49020000000000064,4.988133333333334,4.7652,5.1376,0.37239999999999984,4.998266666666667,4.9134,5.1224,0.20899999999999963,5.3389999999999995,5.2706,5.4036,0.133
2021-05-30 08:00:00-05:00,5.6316,5.2554,6.0268,0.7713999999999999,5.244,4.5714,6.099,1.5276000000000005,4.839933333333334,4.617,5.1376,0.5206,5.032466666666667,4.9134,5.1224,0.20899999999999963,5.1908,4.959,5.3428,0.3838000000000008
2021-05-30 09:00:00-05:00,5.591066666666666,5.2554,6.0268,0.7713999999999999,5.591066666666666,5.0616,6.099,1.0373999999999999,4.6512,4.5714,4.7652,0.19380000000000042,5.037533333333333,4.9134,5.1376,0.22419999999999973,5.117333333333334,4.959,5.2706,0.3116000000000003
2021-05-30 10:00:00-05:00,5.3440666666666665,5.2554,5.491,0.2355999999999998,5.9128,5.6126,6.099,0.4864000000000006,4.75,4.5714,5.0616,0.49020000000000064,4.988133333333334,4.7652,5.1376,0.37239999999999984,4.998266666666667,4.9134,5.1224,0.20899999999999963
2021-05-30 11:00:00-05:00,5.2896,5.092,5.491,0.399,5.6316,5.2554,6.0268,0.7713999999999999,5.244,4.5714,6.099,1.5276000000000005,4.839933333333334,4.617,5.1376,0.5206,5.032466666666667,4.9134,5.1224,0.20899999999999963
2021-05-30 12:00:00-05:00,5.1566,5.092,5.2858,0.19380000000000042,5.591066666666666,5.2554,6.0268,0.7713999999999999,5.591066666666666,5.0616,6.099,1.0373999999999999,4.6512,4.5714,4.7652,0.19380000000000042,5.037533333333333,4.9134,5.1376,0.22419999999999973
2021-05-30 13:00:00-05:00,5.3389999999999995,5.092,5.833,0.7410000000000005,5.3440666666666665,5.2554,5.491,0.2355999999999998,5.9128,5.6126,6.099,0.4864000000000006,4.75,4.5714,5.0616,0.49020000000000064,4.988133333333334,4.7652,5.1376,0.37239999999999984
2021-05-30 14:00:00-05:00,5.497333333333334,5.092,5.833,0.7410000000000005,5.2896,5.092,5.491,0.399,5.6316,5.2554,6.0268,0.7713999999999999,5.244,4.5714,6.099,1.5276000000000005,4.839933333333334,4.617,5.1376,0.5206
2021-05-30 15:00:00-05:00,5.447933333333334,4.9438,5.833,0.8891999999999998,5.1566,5.092,5.2858,0.19380000000000042,5.591066666666666,5.2554,6.0268,0.7713999999999999,5.591066666666666,5.0616,6.099,1.0373999999999999,4.6512,4.5714,4.7652,0.19380000000000042
2021-05-30 16:00:00-05:00,5.131266666666667,4.883,5.567,0.6840000000000002,5.3389999999999995,5.092,5.833,0.7410000000000005,5.3440666666666665,5.2554,5.491,0.2355999999999998,5.9128,5.6126,6.099,0.4864000000000006,4.75,4.5714,5.0616,0.49020000000000064
2021-05-30 17:00:00-05:00,4.779133333333333,4.5106,4.9438,0.43320000000000025,5.497333333333334,5.092,5.833,0.7410000000000005,5.2896,5.092,5.491,0.399,5.6316,5.2554,6.0268,0.7713999999999999,5.244,4.5714,6.099,1.5276000000000005
2021-05-30 18:00:00-05:00,4.6854000000000005,4.5106,4.883,0.37239999999999984,5.447933333333334,4.9438,5.833,0.8891999999999998,5.1566,5.092,5.2858,0.19380000000000042,5.591066666666666,5.2554,6.0268,0.7713999999999999,5.591066666666666,5.0616,6.099,1.0373999999999999
