timestamp_ccentral,turbidity_pnwa_mean_load_1_3,turbidity_pnwa_min_load_1_3,turbidity_pnwa_max_load_1_3,turbidity_pnwa_max_min_load_1_3,turbidity_pnwa_mean_load_4_6,turbidity_pnwa_min_load_4_6,turbidity_pnwa_max_load_4_6,turbidity_pnwa_max_min_load_4_6,turbidity_pnwa_mean_load_7_9,turbidity_pnwa_min_load_7_9,turbidity_pnwa_max_load_7_9,turbidity_pnwa_max_min_load_7_9,turbidity_pnwa_mean_load_10_12,turbidity_pnwa_min_load_10_12,turbidity_pnwa_max_load_10_12,turbidity_pnwa_max_min_load_10_12,turbidity_pnwa_mean_load_13_15,turbidity_pnwa_min_load_13_15,turbidity_pnwa_max_load_13_15,turbidity_pnwa_max_min_load_13_15
2021-05-29 09:00:00-05:00,,,,,,,,,,,,,,,,,,,,
2021-05-29 10:00:00-05:00,630.5707333333334,630.5707333333334,630.5707333333334,0.0,,,,,,,,,,,,,,,,
2021-05-29 11:00:00-05:00,625.3395266666666,620.10832,630.5707333333334,10.462413333333302,,,,,,,,,,,,,,,,
2021-05-29 12:00:00-05:00,628.5388311111111,620.10832,634.93744,14.829119999999989,,,,,,,,,,,,,,,,
2021-05-29 13:00:00-05:00,746.4215866666667,620.10832,984.219,364.11068,630.5707333333334,630.5707333333334,630.5707333333334,0.0,,,,,,,,,,,,
2021-05-29 14:00:00-05:00,870.2681466666668,634.93744,991.6480000000001,356.7105600000001,625.3395266666666,620.10832,630.5707333333334,10.462413333333302,,,,,,,,,,,,
2021-05-29 15:00:00-05:00,986.3419333333335,983.1588,991.6480000000001,8.489200000000096,628.5388311111111,620.10832,634.93744,14.829119999999989,,,,,,,,,,,,
2021-05-29 16:00:00-05:00,1017.5361333333334,983.1588,1077.8016,94.64279999999997,746.4215866666667,620.10832,984.219,364.11068,630.5707333333334,630.5707333333334,630.5707333333334,0.0,,,,,,,,
2021-05-29 17:00:00-05:00,1020.8092,983.1588,1077.8016,94.64279999999997,870.2681466666668,634.93744,991.6480000000001,356.7105600000001,625.3395266666666,620.10832,630.5707333333334,10.462413333333302,,,,,,,,
2021-05-29 18:00:00-05:00,1024.9962088888888,995.7198266666668,1077.8016,82.08177333333322,986.3419333333335,983.1588,991.6480000000001,8.489200000000096,628.5388311111111,620.10832,634.93744,14.829119999999989,,,,,,,,
2021-05-29 19:00:00-05:00,992.0962733333332,979.1017933333331,1001.4671999999999,22.365406666666786,1017.5361333333334,983.1588,1077.8016,94.64279999999997,746.4215866666667,620.10832,984.219,364.11068,630.5707333333334,630.5707333333334,630.5707333333334,0.0,,,,
2021-05-29 20:00:00-05:00,964.6298733333333,919.0679999999999,995.7198266666668,76.65182666666692,1020.8092,983.1588,1077.8016,94.64279999999997,870.2681466666668,634.93744,991.6480000000001,356.7105600000001,625.3395266666666,620.10832,630.5707333333334,10.462413333333302,,,,
2021-05-29 21:00:00-05:00,949.6859933333332,919.0679999999999,979.1017933333331,60.03379333333328,1024.9962088888888,995.7198266666668,1077.8016,82.08177333333322,986.3419333333335,983.1588,991.6480000000001,8.489200000000096,628.5388311111111,620.10832,634.93744,14.829119999999989,,,,
2021-05-29 22:00:00-05:00,926.3117288888889,908.979,950.8881866666667,41.90918666666664,992.0962733333332,979.1017933333331,1001.4671999999999,22.365406666666786,1017.5361333333334,983.1588,1077.8016,94.64279999999997,746.4215866666667,620.10832,984.219,364.11068,630.5707333333334,630.5707333333334,630.5707333333334,0.0
2021-05-29 23:00:00-05:00,932.818848888889,908.979,950.8881866666667,41.90918666666664,964.6298733333333,919.0679999999999,995.7198266666668,76.65182666666692,1020.8092,983.1588,1077.8016,94.64279999999997,870.2681466666668,634.93744,991.6480000000001,356.7105600000001,625.3395266666666,620.10832,630.5707333333334,10.462413333333302
2021-05-30 00:00:00-05:00,933.3598000000001,908.979,952.51104,43.53203999999994,949.6859933333332,919.0679999999999,979.1017933333331,60.03379333333328,1024.9962088888888,995.7198266666668,1077.8016,82.08177333333322,986.3419333333335,983.1588,991.6480000000001,8.489200000000096,628.5388311111111,620.10832,634.93744,14.829119999999989
2021-05-30 01:00:00-05:00,925.1208933333334,884.2622800000001,952.51104,68.24875999999983,926.3117288888889,908.979,950.8881866666667,41.90918666666664,992.0962733333332,979.1017933333331,1001.4671999999999,22.365406666666786,1017.5361333333334,983.1588,1077.8016,94.64279999999997,746.4215866666667,620.10832,984.219,364.11068
2021-05-30 02:00:00-05:00,831.4626733333333,657.6147,952.51104,294.89634,932.818848888889,908.979,950.8881866666667,41.90918666666664,964.6298733333333,919.0679999999999,995.7198266666668,76.65182666666692,1020.8092,983.1588,1077.8016,94.64279999999997,870.2681466666668,634.93744,991.6480000000001,356.7105600000001
2021-05-30 03:00:00-05:00,698.7959333333333,554.5108199999999,884.2622800000001,329.7514600000003,933.3598000000001,908.979,952.51104,43.53203999999994,949.6859933333332,919.0679999999999,979.1017933333331,60.03379333333328,1024.9962088888888,995.7198266666668,1077.8016,82.08177333333322,986.3419333333335,983.1588,991.6480000000001,8.489200000000096
2021-05-30 04:00:00-05:00,607.5744,554.5108199999999,657.6147,103.10388000000012,925.1208933333334,884.2622800000001,952.51104,68.24875999999983,926.3117288888889,908.979,950.8881866666667,41.90918666666664,992.0962733333332,979.1017933333331,1001.4671999999999,22.365406666666786,1017.5361333333334,983.1588,1077.8016,94.64279999999997
