timestamp_ccentral,toc_wmth_mean_load_1_3,toc_wmth_min_load_1_3,toc_wmth_max_load_1_3,toc_wmth_max_min_load_1_3,toc_wmth_mean_load_4_6,toc_wmth_min_load_4_6,toc_wmth_max_load_4_6,toc_wmth_max_min_load_4_6,toc_wmth_mean_load_7_9,toc_wmth_min_load_7_9,toc_wmth_max_load_7_9,toc_wmth_max_min_load_7_9,toc_wmth_mean_load_10_12,toc_wmth_min_load_10_12,toc_wmth_max_load_10_12,toc_wmth_max_min_load_10_12,toc_wmth_mean_load_13_15,toc_wmth_min_load_13_15,toc_wmth_max_load_13_15,toc_wmth_max_min_load_13_15
2023-09-06 00:00:00-05:00,12.189374924399594,12.180880186887599,12.202519990205998,0.021639803318398876,12.334063448742555,12.296824761815998,12.36028634525328,0.0634615834372827,12.574262475051833,12.513018437995317,12.672621322183439,0.1596028841881214,12.912996289834195,12.681596644888678,13.062978925888798,0.3813822810001195,13.155692330857436,13.037893367713679,13.2273913024008,0.18949793468712173
2023-09-06 01:00:00-05:00,12.121916138896234,12.00014363369592,12.184724596105198,0.18458096240927802,12.286543699091753,12.202519990205998,12.36028634525328,0.15776635504728276,12.465081780710156,12.3450792391584,12.537147664976757,0.19206842581835737,12.782877088599074,12.672621322183439,12.994413298725119,0.32179197654168057,13.109421198667755,13.037893367713679,13.2273913024008,0.18949793468712173
2023-09-06 02:00:00-05:00,12.122648726317033,12.00014363369592,12.186922358367598,0.18677872467167767,12.228023116042394,12.184724596105198,12.296824761815998,0.11210016571079962,12.406128007468995,12.3450792391584,12.513018437995317,0.16793919883691721,12.630455210682953,12.537147664976757,12.681596644888678,0.14444897991192107,13.031761864109194,12.994413298725119,13.062978925888798,0.06856562716367876
2023-09-06 03:00:00-05:00,12.055930025347315,11.98072408397844,12.186922358367598,0.20619827438915728,12.189374924399594,12.180880186887599,12.202519990205998,0.021639803318398876,12.334063448742555,12.296824761815998,12.36028634525328,0.0634615834372827,12.574262475051833,12.513018437995317,12.672621322183439,0.1596028841881214,12.912996289834195,12.681596644888678,13.062978925888798,0.3813822810001195
2023-09-06 04:00:00-05:00,12.048398773117555,11.97754987700664,12.186922358367598,0.20937248136095832,12.121916138896234,12.00014363369592,12.184724596105198,0.18458096240927802,12.286543699091753,12.202519990205998,12.36028634525328,0.15776635504728276,12.465081780710156,12.3450792391584,12.537147664976757,0.19206842581835737,12.782877088599074,12.672621322183439,12.994413298725119,0.32179197654168057
2023-09-06 05:00:00-05:00,11.873907635414795,11.66344894525932,11.98072408397844,0.31727513871912016,12.122648726317033,12.00014363369592,12.186922358367598,0.18677872467167767,12.228023116042394,12.184724596105198,12.296824761815998,0.11210016571079962,12.406128007468995,12.3450792391584,12.513018437995317,0.16793919883691721,12.630455210682953,12.537147664976757,12.681596644888678,0.14444897991192107
2023-09-06 06:00:00-05:00,11.769909171565915,11.66344894525932,11.97754987700664,0.3141009317473191,12.055930025347315,11.98072408397844,12.186922358367598,0.20619827438915728,12.189374924399594,12.180880186887599,12.202519990205998,0.021639803318398876,12.334063448742555,12.296824761815998,12.36028634525328,0.0634615834372827,12.574262475051833,12.513018437995317,12.672621322183439,0.1596028841881214
2023-09-06 07:00:00-05:00,11.620992419518316,11.530799620863839,11.668728692431799,0.1379290715679602,12.048398773117555,11.97754987700664,12.186922358367598,0.20937248136095832,12.121916138896234,12.00014363369592,12.184724596105198,0.18458096240927802,12.286543699091753,12.202519990205998,12.36028634525328,0.15776635504728276,12.465081780710156,12.3450792391584,12.537147664976757,0.19206842581835737
2023-09-06 08:00:00-05:00,11.581845020043716,11.530799620863839,11.668728692431799,0.1379290715679602,11.873907635414795,11.66344894525932,11.98072408397844,0.31727513871912016,12.122648726317033,12.00014363369592,12.186922358367598,0.18677872467167767,12.228023116042394,12.184724596105198,12.296824761815998,0.11210016571079962,12.406128007468995,12.3450792391584,12.513018437995317,0.16793919883691721
2023-09-06 09:00:00-05:00,11.476225054866235,11.351868796899359,11.54600674683552,0.1941379499361613,11.769909171565915,11.66344894525932,11.97754987700664,0.3141009317473191,12.055930025347315,11.98072408397844,12.186922358367598,0.20619827438915728,12.189374924399594,12.180880186887599,12.202519990205998,0.021639803318398876,12.334063448742555,12.296824761815998,12.36028634525328,0.0634615834372827
2023-09-06 10:00:00-05:00,11.419967373851515,11.351868796899359,11.54600674683552,0.1941379499361613,11.620992419518316,11.530799620863839,11.668728692431799,0.1379290715679602,12.048398773117555,11.97754987700664,12.186922358367598,0.20937248136095832,12.121916138896234,12.00014363369592,12.184724596105198,0.18458096240927802,12.286543699091753,12.202519990205998,12.36028634525328,0.15776635504728276
2023-09-06 11:00:00-05:00,11.350941722367594,11.338929792383759,11.362026577819679,0.023096785435919642,11.581845020043716,11.530799620863839,11.668728692431799,0.1379290715679602,11.873907635414795,11.66344894525932,11.98072408397844,0.31727513871912016,12.122648726317033,12.00014363369592,12.186922358367598,0.18677872467167767,12.228023116042394,12.184724596105198,12.296824761815998,0.11210016571079962
2023-09-06 12:00:00-05:00,11.338393429637515,11.31422391870912,11.362026577819679,0.04780265911055892,11.476225054866235,11.351868796899359,11.54600674683552,0.1941379499361613,11.769909171565915,11.66344894525932,11.97754987700664,0.3141009317473191,12.055930025347315,11.98072408397844,12.186922358367598,0.20619827438915728,12.189374924399594,12.180880186887599,12.202519990205998,0.021639803318398876
2023-09-06 13:00:00-05:00,11.275259706938156,11.172625409721597,11.338929792383759,0.16630438266216174,11.419967373851515,11.351868796899359,11.54600674683552,0.1941379499361613,11.620992419518316,11.530799620863839,11.668728692431799,0.1379290715679602,12.048398773117555,11.97754987700664,12.186922358367598,0.20937248136095832,12.121916138896234,12.00014363369592,12.184724596105198,0.18458096240927802
2023-09-06 14:00:00-05:00,11.218971132213115,11.170064068208639,11.31422391870912,0.14415985050048086,11.350941722367594,11.338929792383759,11.362026577819679,0.023096785435919642,11.581845020043716,11.530799620863839,11.668728692431799,0.1379290715679602,11.873907635414795,11.66344894525932,11.98072408397844,0.31727513871912016,12.122648726317033,12.00014363369592,12.186922358367598,0.18677872467167767
2023-09-06 15:00:00-05:00,11.172221667118075,11.170064068208639,11.173975523424,0.003911455215360959,11.338393429637515,11.31422391870912,11.362026577819679,0.04780265911055892,11.476225054866235,11.351868796899359,11.54600674683552,0.1941379499361613,11.769909171565915,11.66344894525932,11.97754987700664,0.3141009317473191,12.055930025347315,11.98072408397844,12.186922358367598,0.20619827438915728
2023-09-06 16:00:00-05:00,11.182761144264957,11.170064068208639,11.204243841162238,0.03417977295359975,11.275259706938156,11.172625409721597,11.338929792383759,0.16630438266216174,11.419967373851515,11.351868796899359,11.54600674683552,0.1941379499361613,11.620992419518316,11.530799620863839,11.668728692431799,0.1379290715679602,12.048398773117555,11.97754987700664,12.186922358367598,0.20937248136095832
2023-09-06 17:00:00-05:00,11.181131883498237,11.165176285908478,11.204243841162238,0.03906755525376049,11.218971132213115,11.170064068208639,11.31422391870912,0.14415985050048086,11.350941722367594,11.338929792383759,11.362026577819679,0.023096785435919642,11.581845020043716,11.530799620863839,11.668728692431799,0.1379290715679602,11.873907635414795,11.66344894525932,11.98072408397844,0.31727513871912016
2023-09-06 18:00:00-05:00,11.177475747039354,11.163007114047359,11.204243841162238,0.04123672711487991,11.172221667118075,11.170064068208639,11.173975523424,0.003911455215360959,11.338393429637515,11.31422391870912,11.362026577819679,0.04780265911055892,11.476225054866235,11.351868796899359,11.54600674683552,0.1941379499361613,11.769909171565915,11.66344894525932,11.97754987700664,0.3141009317473191
2023-09-06 19:00:00-05:00,11.169174886444795,11.163007114047359,11.179341259378559,0.016334145331200034,11.182761144264957,11.170064068208639,11.204243841162238,0.03417977295359975,11.275259706938156,11.172625409721597,11.338929792383759,0.16630438266216174,11.419967373851515,11.351868796899359,11.54600674683552,0.1941379499361613,11.620992419518316,11.530799620863839,11.668728692431799,0.1379290715679602
2023-09-06 20:00:00-05:00,11.168247575548795,11.162394353220478,11.179341259378559,0.01694690615808092,11.181131883498237,11.165176285908478,11.204243841162238,0.03906755525376049,11.218971132213115,11.170064068208639,11.31422391870912,0.14415985050048086,11.350941722367594,11.338929792383759,11.362026577819679,0.023096785435919642,11.581845020043716,11.530799620863839,11.668728692431799,0.1379290715679602
